Data da Homologação;Número de Homologação;Nome do Solicitante;CNPJ do Solicitante;Certificado de Conformidade Técnica;Data do Certificado de Conformidade Técnica;Data de Validade do Certificado;Código de Situação do Certificado;Situação do Certificado;Código de Situação do Requerimento;Situação do Requerimento;Nome do Fabricante;Modelo;Nome Comercial;Categoria do Produto;Tipo do Produto;IC_ANTENA;IC_ATIVO;País do Fabricante;CodUIT;CodISO
2025-03-05;5342512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27107/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;DC-PB930;DC-PB938;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5352512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27108/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;DC-PB900;DC-PB900;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5352512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27108/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;DC-PB900;DC-PB902;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5352512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27108/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;DC-PB900;DC-PB904;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5352512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27108/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;DC-PB900;DC-PB906;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5352512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27108/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;DC-PB900;DC-PB908;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-07;60831701821.0;E3TECH ENGENHARIA E REPRESENTACOES LTDA;25081009000103;ICC 01.020/2025;06/03/2025;04/09/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Continental Automotive Technologies GmbH;RFHUB JL;;2;Sistemas de Identificação por Radiofrequências;N;S;Alemanha;D;DEU
2025-03-07;6272510472.0;ITC - INTELIGENT TELECOM CERTIFICATION LTDA;23786165000136;UL-BR 25.0081;24/02/2025;23/02/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;New H3C Technologies Co., Ltd;H3C S5560X-54C-EI;;3;Equipamento de Rede de Dados;N;S;China;CHN;CHN
2025-03-07;61122411382.0;MODERACON - CONFORMIDADE DE PRODUTOS E REPRESENTACOES LTDA;46480271000192;ELD00645/24;06/03/2025;06/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Four Seas Global Link Network Technology;CF-AC1300;CF-913AC V2;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-08;13462517476.0;Paula Tonon Bittencourt;16915974000135;CCPE20250002;07/03/2025;07/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Cheng-Tech Co., Ltd.;CTMRR-130 Pro;;2;Emissor-Sensor de Variação de Campo Eletromagnético;N;S;China;CHN;CHN
2025-03-10;13782510145.0;Latin Approvals Ltda;28758248000135;ICC 06.045/2024;10/03/2025;10/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Rakwireless Technology Co., Ltd.;RAK7240CV2;;1;Estação Terminal de Acesso;N;S;China;CHN;CHN
2025-03-10;13782510145.0;Latin Approvals Ltda;28758248000135;ICC 06.045/2024;10/03/2025;10/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Rakwireless Technology Co., Ltd.;RAK7240CV2;;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-07;14141900160.0;Intelbras S.a. Industria de Telecomunicacao Eletronica Brasileira;82901000000127;OCP 06022;22/01/2022;07/03/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Intelbras S.a. Industria de Telecomunicacao Eletronica Brasileira;IMPACT LAN UTP Cat5e 4P I/O;IL5CMYY;1;Cabo para Transmissão de Dados;N;S;Brasil;BRA;BRA
2025-03-07;14141900160.0;Intelbras S.a. Industria de Telecomunicacao Eletronica Brasileira;82901000000127;OCP 06022;22/01/2022;07/03/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Intelbras S.a. Industria de Telecomunicacao Eletronica Brasileira;IMPACT LAN UTP Cat5e 4P Outdoor Dupla Capa;IL5DCYY;1;Cabo para Transmissão de Dados;N;S;Brasil;BRA;BRA
2025-03-06;43732314373.0;Lehmox Importação e Exportação LTDA;24789857000109;MODERNA-0934/23;06/03/2023;06/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Jiangmen Hisound Electronics Co., Ltd;LEY-1565;LEY-1854A;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-06;43732314373.0;Lehmox Importação e Exportação LTDA;24789857000109;MODERNA-0934/23;06/03/2023;06/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Jiangmen Hisound Electronics Co., Ltd;LEY-1565;LEY-1852B;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-06;43732314373.0;Lehmox Importação e Exportação LTDA;24789857000109;MODERNA-0934/23;06/03/2023;06/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Jiangmen Hisound Electronics Co., Ltd;LEY-1565;LEY-1853B;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-06;43732314373.0;Lehmox Importação e Exportação LTDA;24789857000109;MODERNA-0934/23;06/03/2023;06/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Jiangmen Hisound Electronics Co., Ltd;LEY-1565;LEY-1854B;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
