Data da Homologação;Número de Homologação;Nome do Solicitante;CNPJ do Solicitante;Certificado de Conformidade Técnica;Data do Certificado de Conformidade Técnica;Data de Validade do Certificado;Código de Situação do Certificado;Situação do Certificado;Código de Situação do Requerimento;Situação do Requerimento;Nome do Fabricante;Modelo;Nome Comercial;Categoria do Produto;Tipo do Produto;IC_ANTENA;IC_ATIVO;País do Fabricante;CodUIT;CodISO
2025-01-27;12001402220.0;Fibracem Teleinformatica Ltda.;2010281000199;NCC 10709/14;17/04/2014;01/12/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Fibracem Teleinformatica Ltda.;Splitter Optico PLC 1x2;;3;Acoplador / Divisor Óptico Passivo (Splitter);N;S;Brasil;BRA;BRA
2025-01-09;22051003229.0;New Paths Representação Comercial Ltda;10561430000136;MT-0788/2010;27/08/2010;27/08/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Logitech Far East Ltd;C-U0007;;2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;Taiwan;TWN;TWN
2025-01-31;10991204131.0;SIGNIFY ILUMINACAO BRASIL LTDA.;22555787000190;TÜV 12.0415;19/06/2012;19/06/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Signify N.V.;StarSense Wireless 1-10V/DALI (LLC7340/00);StarSense Wireless 1-10V/DALI (LLC7340/00);2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;Holanda;HOL;NLD
2025-01-31;10991204131.0;SIGNIFY ILUMINACAO BRASIL LTDA.;22555787000190;TÜV 12.0415;19/06/2012;19/06/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Signify N.V.;StarSense Wireless SC RF Mod. (LCN7340/00);StarSense Wireless SC RF Mod. (LCN7340/00);2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;Holanda;HOL;NLD
2025-01-03;29401504372.0;SAMSUNG ELETRONICA DA AMAZONIA LTDA;280273000218;4718;03/08/2015;03/08/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Salcomp Plc;EP-TA50BW;;1;Carregador para Telefone Celular;N;S;Finlândia;FIN;FIN
2025-01-03;29401504372.0;SAMSUNG ELETRONICA DA AMAZONIA LTDA;280273000218;4718;03/08/2015;03/08/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Salcomp Plc;EP-TA50BB;;1;Carregador para Telefone Celular;N;S;Finlândia;FIN;FIN
2025-01-29;28441005543.0;Kawasaki Motores do Brasil Ltda;9137895000185;UL-BR 16.1175;30/12/2016;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Asahi Denso Co., Ltd;KZ42;;2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;Japão;J;JPN
2025-01-27;37651603995.0;KT Comércio de Equip e Produtos para Saúde Ltda;23160805000106;NCC 13664/16;15/08/2016;15/08/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;BTS S.p.A;G-SENSOR 2;;2;Transceptor de Radiação Restrita;N;S;Itália;I;ITA
2025-01-21;33181501749.0;TAIT COMUNICACOES BRASIL LTDA;67116715000185;NCC 12469/15;01/09/2015;01/09/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Tait Limited;T04-00002-JAAA;T04-00002-JAAA;3;Transceptor Troncalizado - Base;N;S;Nova Zelândia;NZL;NZL
2025-01-27;38011705772.0;MOTOPPAR INDUSTRIA E COMERCIO DE AUTOMATIZADORES LTDA;52605821000155;NCC 14657/17;21/06/2017;21/06/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;MOTOPPAR INDUSTRIA E COMERCIO DE AUTOMATIZADORES LTDA;Tok;;2;Dispositivo de Operação Periódica;N;S;Brasil;BRA;BRA
2025-01-09;54011610107.0;DAMKTECH LTDA. - ME;18806187000180;MT-3884/2016;31/10/2016;31/10/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Amphenol Thermometrics, Inc.;X2015;Validator AVS;2;Transceptor de Radiação Restrita;N;S;Estados Unidos da América;USA;USA
2025-01-27;33341501749.0;TAIT COMUNICACOES BRASIL LTDA;67116715000185;NCC 12505/15;10/09/2015;10/09/2025 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Tait Limited;T02-00012-JBAA;T02-00012-JBAA;1;Transceptor Analógico Troncalizado - Móvel;N;S;Nova Zelândia;NZL;NZL
2025-01-08;55841603229.0;E3TECH ENGENHARIA E REPRESENTACOES LTDA;25081009000103;NCC 14021/16;29/11/2016;29/11/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Logitech Far East Ltd;C-U0016;;2;Transceptor de Radiação Restrita;N;S;Taiwan;TWN;TWN
2025-01-09;56631603229.0;E3TECH ENGENHARIA E REPRESENTACOES LTDA;25081009000103;NCC 14043/16;02/12/2016;02/12/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Logitech Far East Ltd;R-R0011;;2;Transceptor de Radiação Restrita;N;S;Taiwan;TWN;TWN
2025-01-09;56351705894.0;ERICSSON TELECOMUNICAÇÕES S.A.;33067745003908;NCC 14891/17;17/08/2017;31/12/2024 00:00:00;7;Cancelado;11;Homologação Cancelada;Ericsson AB;KRC 161 495/1;Radio 4415;3;Transceptor para Estação Rádio Base;N;S;Suécia;S;SWE
2025-01-03;19101404405.0;GL Eletro-Eletrônicos Ltda;52618139002221;TÜV 17.1801;28/08/2017;28/08/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;GL Eletro-Eletrônicos Ltda;Cabo U/UTP Cat 5e CMX 4 pares;;1;Cabo para Transmissão de Dados;N;S;Brasil;BRA;BRA
2025-01-03;19091404405.0;GL Eletro-Eletrônicos Ltda;52618139002221;TÜV 17.1803;28/08/2017;28/08/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;GL Eletro-Eletrônicos Ltda;Cabo U/UTP Cat 5e LSZH 4 pares;;1;Cabo para Transmissão de Dados;N;S;Brasil;BRA;BRA
2025-01-09;17181805899.0;E3TECH ENGENHARIA E REPRESENTACOES LTDA;25081009000103;UL-BR 18.0139;08/03/2018;07/03/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Marelli Corporation;BN009;;2;Sistemas de Identificação por Radiofrequências;N;S;Japão;J;JPN
2025-01-24;35881809807.0;HEWLETT-PACKARD BRASIL LTDA;61797924000317;NCC 15815/18;08/06/2018;24/05/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Hewlett Packard Enterprise Company;BJNGA-AD0075;;3;Equipamento de Rede de Dados;N;S;Estados Unidos da América;USA;USA
2025-01-24;35881809807.0;HEWLETT-PACKARD BRASIL LTDA;61797924000317;NCC 15815/18;08/06/2018;24/05/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Hewlett Packard Enterprise Company;BJNGA-AD0077;;3;Equipamento de Rede de Dados;N;S;Estados Unidos da América;USA;USA
2025-01-03;7901404405.0;GL Eletro-Eletrônicos Ltda;52618139002221;TÜV 17.1810;31/08/2017;31/08/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;GL Eletro-Eletrônicos Ltda;Cabo de manobra - Cat 6 - sem blindagem - CM/LSZH;;1;Cabo de Manobra;N;S;Brasil;BRA;BRA
2025-01-21;76461806004.0;DAMKTECH LTDA. - ME;18806187000180;MT-4441/2018;06/11/2018;06/11/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Sensormatic  Electronics, LLC;BIX1000;-;2;Transceptor de Radiação Restrita;N;S;Estados Unidos da América;USA;USA
2025-01-03;19081404405.0;GL Eletro-Eletrônicos Ltda;52618139002221;TÜV 17.1823;05/09/2017;05/09/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;GL Eletro-Eletrônicos Ltda;Cabo U/UTP Cat 5e CMX 4 pares;;1;Cabo para Transmissão de Dados;N;S;Brasil;BRA;BRA
2025-01-03;19081404405.0;GL Eletro-Eletrônicos Ltda;52618139002221;TÜV 17.1823;05/09/2017;05/09/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;GL Eletro-Eletrônicos Ltda;Cabo U/UTP Cat 5e CM 4 pares;;1;Cabo para Transmissão de Dados;N;S;Brasil;BRA;BRA
2025-01-03;19081404405.0;GL Eletro-Eletrônicos Ltda;52618139002221;TÜV 17.1823;05/09/2017;05/09/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;GL Eletro-Eletrônicos Ltda;Cabo U/UTP Cat 5e CMR 4 pares;;1;Cabo para Transmissão de Dados;N;S;Brasil;BRA;BRA
